type_financial,factor,esti_detail_CN,esti_detail_CN,esti_stat_CN,esti_stat,indi_prefix,indi_sufix,type_stat,value_sirection
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润平均值(万元),NET_PROFIT_AVG,esti_diffpct_,_avg,平均值,1
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入平均值(万元),MAIN_BUS_INC_AVG,esti_diffpct_,_avg,平均值,1
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润平均值(万元),EBITDA_AVG,esti_diffpct_,_avg,平均值,1
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率平均值（%）,S_EST_AVGROA,esti_diffpct_,_avg,平均值,1
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率平均值（%）,S_EST_AVGROE,esti_diffpct_,_avg,平均值,1
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流平均值,S_EST_AVGCPS,esti_diffpct_,_avg,平均值,1
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加平均值(万元),S_EST_AVGOC,esti_diffpct_,_avg,平均值,1
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润中值(万元),NET_PROFIT_MEDIAN,esti_diffpct_,_median,中位数,1
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入中值(万元),MAIN_BUS_INC_MEDIAN,esti_diffpct_,_median,中位数,1
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润中值(万元),EBITDA_MEDIAN,esti_diffpct_,_median,中位数,1
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率中值（%）,S_EST_MEDIANROA,esti_diffpct_,_median,中位数,1
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率中值（%）,S_EST_MEDIANROE,esti_diffpct_,_median,中位数,1
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流中值,S_EST_MEDIANCPS,esti_diffpct_,_median,中位数,1
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加中值(万元),S_EST_MEDIAOC,esti_diffpct_,_median,中位数,1
收入和利润,成长,预测净利润(万元),EST_NET_PROFIT,净利润标准差(万元),NET_PROFIT_DEV,esti_diffpct_,_std,标准差,1
收入和利润,成长,预测主营业务收入(万元),EST_MAIN_BUS_INC,主营业务收入标准差(万元),MAIN_BUS_INC_DEV,esti_diffpct_,_std,标准差,1
收入和利润,成长,预测息税折旧摊销前利润(万元),EST_EBITDA,息税折旧摊销前利润标准差(万元),EBITDA_DEV,esti_diffpct_,_std,标准差,1
资产和投资收益,价值,预测总资产收益率,S_EST_ROA,总资产收益率标准差（%）,S_EST_STDROA,esti_diffpct_,_std,标准差,1
资产和投资收益,价值,预测净资产收益率,S_EST_ROE,净资产收益率标准差（%）,S_EST_STDROE,esti_diffpct_,_std,标准差,1
现金流,质量,预测每股现金流,S_EST_CPS,每股现金流标准差,S_EST_STDCPS,esti_diffpct_,_std,标准差,1
费用管理,质量,预测营业成本及附加（万元）,S_EST_OC,营业成本及附加标准差(万元),S_EST_STOC,esti_diffpct_,_std,标准差,1
